Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, headache, fatigue, loss of appetite, muscle aches, body aches, feverish, chills",fever vomiting headache fatigue loss appetite muscle ache body ache feverish chill,9
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, bloody stools, stomach cramps, muscle aches, rashes, chills",fever diarrhea bloody stool stomach cramp muscle ache rash chill,7
Roseola,10,"high fever, runny nose, rash, irritability, headache, cough, diarrhea, vomiting, loss of appetite, body aches, chills, feverish",high fever runny nose rash irritability headache cough diarrhea vomiting loss appetite body ache chill feverish,12
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, nausea, headache, fatigue, chills, sweating, rashes, general discomfort, irritability",diarrhea stomach cramp low-grade fever nausea headache fatigue chill sweating rash general discomfort irritability,11
Norovirus Infection,8,"low-grade fever, fatigue, abdominal pain, loss of appetite, general discomfort, fever, irritability",low-grade fever fatigue abdominal pain loss appetite general discomfort fever irritability,7
Roseola,10,"rash, swollen lymph nodes, sore throat, headache, cough, diarrhea, vomiting, loss of appetite, body aches, chills",rash swollen lymph node sore throat headache cough diarrhea vomiting loss appetite body ache chill,10
Roseola,10,"high fever, runny nose, rash, swollen lymph nodes, sore throat, vomiting, loss of appetite, abdominal pain, body aches, rashes, feverish",high fever runny nose rash swollen lymph node sore throat vomiting loss appetite abdominal pain body ache rash feverish,11
Norovirus Infection,8,"stomach cramps, low-grade fever, nausea, abdominal pain, loss of appetite, chills, sweating, body aches, general discomfort, fever",stomach cramp low-grade fever nausea abdominal pain loss appetite chill sweating body ache general discomfort fever,10
Norovirus Infection,8,"low-grade fever, muscle aches, headache, dehydration, chills, sweating, general discomfort, fever",low-grade fever muscle ache headache dehydration chill sweating general discomfort fever,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, vomiting, bloody stools, loss of appetite, body aches, rashes, general discomfort, chills",fever abdominal pain cramp nausea vomiting bloody stool loss appetite body ache rash general discomfort chill,10
Norovirus Infection,8,"stomach cramps, low-grade fever, nausea, headache, loss of appetite, chills, sweating, rashes, fever, irritability",stomach cramp low-grade fever nausea headache loss appetite chill sweating rash fever irritability,10
Roseola,10,"rash, swollen lymph nodes, headache, red eyes, diarrhea, chills",rash swollen lymph node headache red eye diarrhea chill,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, bloody stools, stomach cramps, headache, dehydration, loss of appetite, muscle aches, body aches, rashes",fever abdominal pain cramp vomiting bloody stool stomach cramp headache dehydration loss appetite muscle ache body ache rash,11
Roseola,10,"runny nose, rash, fatigue, headache, cough, diarrhea, body aches, chills",runny nose rash fatigue headache cough diarrhea body ache chill,8
Roseola,10,"rash, irritability, swollen lymph nodes, sore throat, headache, cough, diarrhea, abdominal pain, chills, feverish",rash irritability swollen lymph node sore throat headache cough diarrhea abdominal pain chill feverish,10
Norovirus Infection,8,"vomiting, stomach cramps, muscle aches, abdominal pain, loss of appetite, dehydration, chills, body aches, fever",vomiting stomach cramp muscle ache abdominal pain loss appetite dehydration chill body ache fever,9
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, dehydration, chills, sweating, body aches, rashes",vomiting stomach cramp low-grade fever muscle ache nausea headache fatigue dehydration chill sweating body ache rash,12
Shigellosis (Bacillary Dysentery),13,"fever, stomach cramps, headache, fatigue, dehydration, muscle aches, body aches, rashes, general discomfort, chills",fever stomach cramp headache fatigue dehydration muscle ache body ache rash general discomfort chill,10
Pertussis (Whooping Cough),9,"whooping cough, fever, cyanosis, sneezing, low-grade fever, runny nose, severe coughing fits, vomiting after coughing",whooping cough fever cyanosis sneezing low-grade fever runny nose severe coughing fit vomiting coughing,8
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, bloody stools, headache, dehydration, loss of appetite, body aches, feverish, general discomfort, chills",fever vomiting bloody stool headache dehydration loss appetite body ache feverish general discomfort chill,10
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, loss of appetite, blisters, sore muscles, headache, general discomfort",fever rash hand foot loss appetite blister sore muscle headache general discomfort,7
Shigellosis (Bacillary Dysentery),13,"diarrhea, vomiting, fatigue, dehydration, muscle aches, body aches, feverish, rashes",diarrhea vomiting fatigue dehydration muscle ache body ache feverish rash,8
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, bloody stools, stomach cramps, headache, dehydration, loss of appetite, body aches, rashes, general discomfort",fever diarrhea bloody stool stomach cramp headache dehydration loss appetite body ache rash general discomfort,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, stomach cramps, loss of appetite, body aches, feverish, rashes, chills",fever abdominal pain cramp diarrhea nausea vomiting bloody stool stomach cramp loss appetite body ache feverish rash chill,12
Roseola,10,"high fever, irritability, fatigue, swollen lymph nodes, headache, vomiting, loss of appetite, abdominal pain, chills",high fever irritability fatigue swollen lymph node headache vomiting loss appetite abdominal pain chill,9
Norovirus Infection,8,"diarrhea, nausea, headache, dehydration, chills, sweating, body aches, irritability",diarrhea nausea headache dehydration chill sweating body ache irritability,8
Roseola,10,"fatigue, swollen lymph nodes, headache, cough, loss of appetite, body aches, rashes, feverish",fatigue swollen lymph node headache cough loss appetite body ache rash feverish,8
Norovirus Infection,8,"diarrhea, vomiting, body aches, rashes, general discomfort, fever",diarrhea vomiting body ache rash general discomfort fever,6
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, headache, abdominal pain, loss of appetite, dehydration, chills, sweating, rashes, general discomfort, fever",diarrhea vomiting stomach cramp low-grade fever headache abdominal pain loss appetite dehydration chill sweating rash general discomfort fever,13
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, vomiting, bloody stools, fatigue, general discomfort, joint pain",fever abdominal pain cramp nausea vomiting bloody stool fatigue general discomfort joint pain,8
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, loss of appetite, mouth sores, fatigue, sore muscles, headache, general discomfort, mild fever",fever rash hand foot loss appetite mouth sore fatigue sore muscle headache general discomfort mild fever,9
Norovirus Infection,8,"diarrhea, vomiting, muscle aches, abdominal pain, dehydration, sweating, rashes, general discomfort",diarrhea vomiting muscle ache abdominal pain dehydration sweating rash general discomfort,8
Norovirus Infection,8,"stomach cramps, muscle aches, headache, fatigue, abdominal pain, loss of appetite, dehydration, sweating, body aches, rashes, general discomfort, fever",stomach cramp muscle ache headache fatigue abdominal pain loss appetite dehydration sweating body ache rash general discomfort fever,12
Roseola,10,"irritability, swollen lymph nodes, sore throat, red eyes, diarrhea, abdominal pain, body aches, rashes, feverish",irritability swollen lymph node sore throat red eye diarrhea abdominal pain body ache rash feverish,9
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, nausea, headache, abdominal pain, loss of appetite, dehydration, sweating, rashes, general discomfort, fever",diarrhea vomiting low-grade fever nausea headache abdominal pain loss appetite dehydration sweating rash general discomfort fever,12
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, bloody stools, muscle aches, rashes, chills",abdominal pain cramp diarrhea vomiting bloody stool muscle ache rash chill,7
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, headache, fatigue, dehydration, loss of appetite, muscle aches, feverish, general discomfort, joint pain",abdominal pain cramp bloody stool headache fatigue dehydration loss appetite muscle ache feverish general discomfort joint pain,10
Roseola,10,"runny nose, swollen lymph nodes, sore throat, cough, loss of appetite, abdominal pain, rashes, feverish",runny nose swollen lymph node sore throat cough loss appetite abdominal pain rash feverish,8
Roseola,10,"high fever, rash, sore throat, cough, diarrhea, vomiting, abdominal pain, rashes, chills, feverish",high fever rash sore throat cough diarrhea vomiting abdominal pain rash chill feverish,10
Roseola,10,"runny nose, rash, irritability, fatigue, swollen lymph nodes, sore throat, headache, red eyes, diarrhea, abdominal pain, rashes, chills, feverish",runny nose rash irritability fatigue swollen lymph node sore throat headache red eye diarrhea abdominal pain rash chill feverish,13
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, nausea, fatigue, loss of appetite, fever, irritability",diarrhea stomach cramp low-grade fever nausea fatigue loss appetite fever irritability,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, loss of appetite, muscle aches, feverish, general discomfort, chills, joint pain",abdominal pain cramp nausea loss appetite muscle ache feverish general discomfort chill joint pain,8
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, fatigue, abdominal pain, loss of appetite, dehydration, chills, sweating, rashes, fever",diarrhea vomiting stomach cramp low-grade fever muscle ache fatigue abdominal pain loss appetite dehydration chill sweating rash fever,13
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, irritability, sore throat, red spots, fatigue, cough, difficulty swallowing",fever sore mouth irritability sore throat red spot fatigue cough difficulty swallowing,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, headache, loss of appetite, muscle aches, feverish, rashes",fever abdominal pain cramp diarrhea headache loss appetite muscle ache feverish rash,8
Roseola,10,"fatigue, sore throat, headache, cough, diarrhea, loss of appetite, rashes",fatigue sore throat headache cough diarrhea loss appetite rash,7
Norovirus Infection,8,"stomach cramps, low-grade fever, muscle aches, nausea, headache, loss of appetite, chills, body aches, fever, irritability",stomach cramp low-grade fever muscle ache nausea headache loss appetite chill body ache fever irritability,10
Roseola,10,"irritability, swollen lymph nodes, headache, vomiting, loss of appetite, chills",irritability swollen lymph node headache vomiting loss appetite chill,6
