drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
Ocella,ocella,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,ocella acne drospirenone and ethinyl estradiol contraceptives,ocella acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, breast tenderness, headache, mood changes, feeling tired, irritable, weight gain, changes in your menstrual periods, decreased sex drive",10
PanOxyl,panoxyl,Acne,acne,benzoyl peroxide topical,Topical acne agents,panoxyl acne benzoyl peroxide topical topical acne agents,panoxyl acne benzoyl peroxide topical topical acne agent,"mild stinging, burning, itching, tingly feeling, skin dryness, peeling, flaking, redness, other irritation",9
PanOxyl 10% Acne Foaming Wash,panoxyl 10% acne foaming wash,Acne,acne,Benzoyl Peroxide Wash and Cleanser,Topical acne agents,panoxyl 10% acne foaming wash acne benzoyl peroxide wash and cleanser topical acne agents,panoxyl 10 acne foaming wash acne benzoyl peroxide wash cleanser topical acne agent,"rash, itching, fever, swelling",4
Seysara,seysara,Acne,acne,sarecycline,Tetracyclines,seysara acne sarecycline tetracyclines,seysara acne sarecycline tetracycline,nausea,1
Sotret,sotret,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","sotret acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",sotret acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
sulfacetamide sodium/sulfur,sulfacetamide sodium/sulfur,Acne,acne,sulfacetamide sodium and sulfur topical,Topical antibiotics,sulfacetamide sodium/sulfur acne sulfacetamide sodium and sulfur topical topical antibiotics,sulfacetamide sodiumsulfur acne sulfacetamide sodium sulfur topical topical antibiotic,"itching, swelling",2
tazarotene,tazarotene,Acne,acne,tazarotene topical,"Topical acne agents, Topical antipsoriatics","tazarotene acne tazarotene topical topical acne agents, topical antipsoriatics",tazarotene acne tazarotene topical topical acne agent topical antipsoriatics,"dry, scaly, peeling skin, skin pain, redness, burning, itching, other irritation of treated skin",8
Tri-Previfem,tri-previfem,Acne,acne,ethinyl estradiol and norgestimate (oral route),Contraceptives,tri-previfem acne ethinyl estradiol and norgestimate (oral route) contraceptives,tri-previfem acne ethinyl estradiol norgestimate contraceptive,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, fever, cough, stomach pain, swelling, bleeding, chest pain, anxiety",15
Tri-Sprintec,tri-sprintec,Acne,acne,ethinyl estradiol and norgestimate (oral route),Contraceptives,tri-sprintec acne ethinyl estradiol and norgestimate (oral route) contraceptives,tri-sprintec acne ethinyl estradiol norgestimate contraceptive,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, fever, cough, stomach pain, swelling, bleeding, chest pain, anxiety",15
Veltin,veltin,Acne,acne,clindamycin and tretinoin (topical),Topical acne agents,veltin acne clindamycin and tretinoin (topical) topical acne agents,veltin acne clindamycin tretinoin topical acne agent,"mild skin irritation, dryness, peeling, mild skin redness, itching of treated skin",5
Ximino,ximino,Acne,acne,minocycline (oral route),Tetracyclines,ximino acne minocycline (oral route) tetracyclines,ximino acne minocycline tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, confusion",16
Zenatane,zenatane,Acne,acne,isotretinoin (oral),Miscellaneous uncategorized agents,zenatane acne isotretinoin (oral) miscellaneous uncategorized agents,zenatane acne isotretinoin miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
Acetoxyl,acetoxyl,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,acetoxyl acne benzoyl peroxide (topical route) topical acne agents,acetoxyl acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Acne-10,acne-10,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,acne-10 acne benzoyl peroxide (topical route) topical acne agents,acne-10 acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Acne-Clear,acne-clear,Acne,acne,benzoyl peroxide topical,Topical acne agents,acne-clear acne benzoyl peroxide topical topical acne agents,acne-clear acne benzoyl peroxide topical topical acne agent,"itching, swelling",2
Acnevir,acnevir,Acne,acne,salicylic acid topical,"Topical acne agents, Topical keratolytics","acnevir acne salicylic acid topical topical acne agents, topical keratolytics",acnevir acne salicylic acid topical topical acne agent topical keratolytics,"minor skin irritation, rash, peeling, changes in the color of treated skin",4
Acnomel,acnomel,Acne,acne,resorcinol and sulfur (topical route),Topical acne agents,acnomel acne resorcinol and sulfur (topical route) topical acne agents,acnomel acne resorcinol sulfur topical acne agent,"nausea, vomiting, diarrhea, headache, dizziness, drowsiness, stomach pain",7
Acnomel Acne Mask,acnomel acne mask,Acne,acne,salicylic acid (topical route),"Topical acne agents, Topical keratolytics","acnomel acne mask acne salicylic acid (topical route) topical acne agents, topical keratolytics",acnomel acne mask acne salicylic acid topical acne agent topical keratolytics,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, stomach pain, swelling, confusion",10
Acnomel BP 5,acnomel bp 5,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,acnomel bp 5 acne benzoyl peroxide (topical route) topical acne agents,acnomel bp acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Aklief,aklief,Acne,acne,trifarotene,Topical acne agents,aklief acne trifarotene topical acne agents,aklief acne trifarotene topical acne agent,itching,1
Akurza,akurza,Acne,acne,salicylic acid (topical route),"Topical acne agents, Topical keratolytics","akurza acne salicylic acid (topical route) topical acne agents, topical keratolytics",akurza acne salicylic acid topical acne agent topical keratolytics,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, stomach pain, swelling, confusion",10
Aliclen,aliclen,Acne,acne,salicylic acid (topical route),"Topical acne agents, Topical keratolytics","aliclen acne salicylic acid (topical route) topical acne agents, topical keratolytics",aliclen acne salicylic acid topical acne agent topical keratolytics,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, stomach pain, swelling, confusion",10
Alquam-X Acne Therapy Gel,alquam-x acne therapy gel,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,alquam-x acne therapy gel acne benzoyl peroxide (topical route) topical acne agents,alquam-x acne therapy gel acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Altabax,altabax,Acne,acne,retapamulin topical,Topical antibiotics,altabax acne retapamulin topical topical antibiotics,altabax acne retapamulin topical topical antibiotic,"mild itching, skin irritation, headache",3
Altreno,altreno,Acne,acne,tretinoin topical,Topical acne agents,altreno acne tretinoin topical topical acne agents,altreno acne tretinoin topical topical acne agent,"skin pain, redness, burning, itching, irritation, sore throat, mild warmth, stinging where the medicine was applied, changes in color of treated skin",9
Arazlo,arazlo,Acne,acne,tazarotene topical,Topical acne agents,arazlo acne tazarotene topical topical acne agents,arazlo acne tazarotene topical topical acne agent,"dry, scaly, peeling skin, skin pain, redness, burning, itching, other irritation of treated skin",8
Avar,avar,Acne,acne,Sulfur and Sulfacetamide Cream and Gel,Topical antibiotics,avar acne sulfur and sulfacetamide cream and gel topical antibiotics,avar acne sulfur sulfacetamide cream gel topical antibiotic,"rash, itching, fever, cough, stomach pain, swelling, bleeding, bruising",8
Avar LS,avar ls,Acne,acne,Sulfur and Sulfacetamide Foam,Topical antibiotics,avar ls acne sulfur and sulfacetamide foam topical antibiotics,avar l acne sulfur sulfacetamide foam topical antibiotic,"rash, itching, fever, cough, stomach pain, swelling, bleeding, bruising",8
Avar LS Cleanser,avar ls cleanser,Acne,acne,"Sulfur and Sulfacetamide Cleanser, Emulsion, and Wash",Topical antibiotics,"avar ls cleanser acne sulfur and sulfacetamide cleanser, emulsion, and wash topical antibiotics",avar l cleanser acne sulfur sulfacetamide cleanser emulsion wash topical antibiotic,"rash, itching, fever, cough, stomach pain, swelling, bleeding, bruising",8
Benzac,benzac,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,benzac acne benzoyl peroxide (topical route) topical acne agents,benzac acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Benzac AC,benzac ac,Acne,acne,benzoyl peroxide topical,Topical acne agents,benzac ac acne benzoyl peroxide topical topical acne agents,benzac ac acne benzoyl peroxide topical topical acne agent,"itching, swelling",2
Benzac AC Wash,benzac ac wash,Acne,acne,Benzoyl Peroxide Wash and Cleanser,Topical acne agents,benzac ac wash acne benzoyl peroxide wash and cleanser topical acne agents,benzac ac wash acne benzoyl peroxide wash cleanser topical acne agent,"rash, itching, fever, swelling",4
Benzac W,benzac w,Acne,acne,Benzoyl Peroxide Wash and Cleanser,Topical acne agents,benzac w acne benzoyl peroxide wash and cleanser topical acne agents,benzac acne benzoyl peroxide wash cleanser topical acne agent,"rash, itching, fever, swelling",4
Benzagel,benzagel,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,benzagel acne benzoyl peroxide (topical route) topical acne agents,benzagel acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Benzagel Wash,benzagel wash,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,benzagel wash acne benzoyl peroxide (topical route) topical acne agents,benzagel wash acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
Benzamycin Pak,benzamycin pak,Acne,acne,erythromycin and benzoyl peroxide (topical route),Topical acne agents,benzamycin pak acne erythromycin and benzoyl peroxide (topical route) topical acne agents,benzamycin pak acne erythromycin benzoyl peroxide topical acne agent,"rash, itching, swelling, skin rash",4
Benzashave,benzashave,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,benzashave acne benzoyl peroxide (topical route) topical acne agents,benzashave acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
BenzEFoam Ultra,benzefoam ultra,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,benzefoam ultra acne benzoyl peroxide (topical route) topical acne agents,benzefoam ultra acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
BenzePro,benzepro,Acne,acne,benzoyl peroxide topical,Topical acne agents,benzepro acne benzoyl peroxide topical topical acne agents,benzepro acne benzoyl peroxide topical topical acne agent,"mild stinging, burning, itching, tingly feeling, skin dryness, peeling, flaking, redness, other irritation",9
Benziq,benziq,Acne,acne,benzoyl peroxide topical,Topical acne agents,benziq acne benzoyl peroxide topical topical acne agents,benziq acne benzoyl peroxide topical topical acne agent,"mild stinging, burning, itching, tingly feeling, skin dryness, peeling, flaking, redness, other irritation",9
benzoyl peroxide / hydrocortisone,benzoyl peroxide / hydrocortisone,Acne,acne,benzoyl peroxide and hydrocortisone topical,Topical acne agents,benzoyl peroxide / hydrocortisone acne benzoyl peroxide and hydrocortisone topical topical acne agents,benzoyl peroxide hydrocortisone acne benzoyl peroxide hydrocortisone topical topical acne agent,"itching, weight gain, swelling, anxiety, depression",5
benzoyl peroxide / salicylic acid,benzoyl peroxide / salicylic acid,Acne,acne,benzoyl peroxide and salicylic acid (topical),Topical acne agents,benzoyl peroxide / salicylic acid acne benzoyl peroxide and salicylic acid (topical) topical acne agents,benzoyl peroxide salicylic acid acne benzoyl peroxide salicylic acid topical acne agent,"nausea, vomiting, diarrhea, dizziness, itching, swelling",6
benzoyl peroxide / tretinoin,benzoyl peroxide / tretinoin,Acne,acne,benzoyl peroxide and tretinoin topical,Topical acne agents,benzoyl peroxide / tretinoin acne benzoyl peroxide and tretinoin topical topical acne agents,benzoyl peroxide tretinoin acne benzoyl peroxide tretinoin topical topical acne agent,"itching, swelling",2
Binora,binora,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,binora acne benzoyl peroxide (topical route) topical acne agents,binora acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
BP 10-Wash,bp 10-wash,Acne,acne,sulfacetamide sodium and sulfur topical,Topical antibiotics,bp 10-wash acne sulfacetamide sodium and sulfur topical topical antibiotics,bp 10-wash acne sulfacetamide sodium sulfur topical topical antibiotic,"itching, swelling",2
BPO Gel,bpo gel,Acne,acne,benzoyl peroxide (topical route),Topical acne agents,bpo gel acne benzoyl peroxide (topical route) topical acne agents,bpo gel acne benzoyl peroxide topical acne agent,"dizziness, rash, itching, cough, swelling, skin rash",6
